RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
1,José Abella,mx MEX,"DF,CC",Atlas,28,1994,20.9,672,922,72.9,13640,5527,253,289,87.5,297,369,80.5,116,228,50.9,1,0.7,1.5,+0.3,12,62,15,9,81,Partidos
2,Clifford Aboagye,gh GHA,CC,Querétaro,27,1995,6.5,241,308,78.2,4393,1169,113,128,88.3,98,117,83.8,29,45,64.4,2,0.6,0.8,+1.4,12,27,11,3,32,Partidos
3,Luis Abram,pe PER,DF,Cruz Azul,26,1996,10.0,270,346,78.0,5820,2558,73,77,94.8,159,178,89.3,38,82,46.3,0,0.0,0.1,0.0,0,11,1,0,15,Partidos
4,Carlos Acevedo,mx MEX,PO,Santos,26,1996,33.0,642,950,67.6,20557,15968,110,111,99.1,248,253,98.0,277,577,48.0,0,0.0,0.1,0.0,1,18,0,0,0,Partidos
5,Sergio Adrián Flores,mx MEX,CC,Guadalajara,27,1995,11.2,417,525,79.4,8106,3574,146,177,82.5,213,242,88.0,52,81,64.2,1,0.7,0.5,+0.3,8,58,3,0,46,Partidos
6,Washington Aguerre,uy URU,PO,Querétaro,29,1993,9.0,168,267,62.9,5751,4432,21,21,100.0,75,76,98.7,70,167,41.9,0,0.0,0.0,0.0,1,7,2,0,0,Partidos
7,Eduardo Águila,mx MEX,DF,Atlético,20,2002,2.4,90,123,73.2,1695,629,28,32,87.5,51,66,77.3,8,20,40.0,0,0.0,0.0,0.0,1,10,0,0,7,Partidos
8,Daniel Aguilar,mx MEX,"DF,CC",Puebla,24,1998,7.9,285,367,77.7,4925,1829,143,166,86.1,112,141,79.4,26,41,63.4,0,0.1,0.3,-0.1,6,18,2,1,20,Partidos
9,Manuel Aguilar,mx MEX,DF,UANL,19,2003,0.5,16,18,88.9,243,78,10,10,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Partidos
10,Emanuel Aguilera,ar ARG,DF,Atlas,33,1989,11.5,455,548,83.0,9860,3232,141,149,94.6,232,265,87.5,80,123,65.0,0,0.1,0.3,-0.1,2,41,0,0,40,Partidos
11,Eduardo Aguirre,mx MEX,DL,Santos,23,1998,12.7,156,224,69.6,2111,412,107,134,79.9,36,52,69.2,8,13,61.5,1,0.5,0.5,+0.5,10,15,5,0,18,Partidos
12,Érick Aguirre,mx MEX,DF,Monterrey,25,1997,15.6,519,684,75.9,9579,4123,248,282,87.9,201,265,75.8,67,121,55.4,2,2.2,1.9,-0.2,17,41,21,14,47,Partidos
13,Gaddi Aguirre,mx MEX,DF,Atlas,26,1996,15.8,632,783,80.7,13069,5290,201,223,90.1,332,380,87.4,96,168,57.1,1,0.8,0.1,+0.2,3,47,0,0,45,Partidos
14,Rodrigo Aguirre,uy URU,"DL,CC",Monterrey,27,1994,22.3,275,417,65.9,4152,1235,150,192,78.1,92,139,66.2,20,41,48.8,4,3.8,2.3,+0.2,27,30,15,4,37,Partidos
15,Manuel Agustín Duarte,ar ARG,CC,Querétaro,20,2001,4.6,143,199,71.9,2275,706,83,97,85.6,44,63,69.8,13,24,54.2,1,0.9,0.5,+0.1,8,10,6,1,20,Partidos
16,Arnaud Ake,ci CIV,DL,Mazatlán,24,1998,8.6,106,150,70.7,1510,206,64,88,72.7,35,44,79.5,4,8,50.0,2,0.6,0.3,+1.4,7,10,4,0,13,Partidos
17,Edgar Alaffita,mx MEX,CC,UNAM,25,1996,1.4,40,55,72.7,642,211,24,28,85.7,13,19,68.4,3,6,50.0,0,0.2,0.3,-0.2,3,1,4,1,6,Partidos
18,Oswaldo Alanís,mx MEX,DF,Mazatlán,33,1989,19.1,793,962,82.4,16721,6826,235,264,89.0,425,480,88.5,127,195,65.1,0,0.0,0.1,0.0,1,41,0,0,49,Partidos
19,Jesús Alberto Angulo,mx MEX,DF,UANL,24,1998,29.2,1364,1753,77.8,24961,10961,565,615,91.9,640,777,82.4,137,284,48.2,3,1.8,2.3,+1.2,27,173,33,22,208,Partidos
20,Gil Alcalá,mx MEX,PO,Querétaro,30,1992,17.0,364,533,68.3,12835,10245,38,38,100.0,153,156,98.1,170,335,50.7,0,0.0,0.0,0.0,0,15,0,0,0,Partidos
21,Gil Alcalá,mx MEX,PO,UNAM,30,1992,2.0,33,50,66.0,1303,1157,4,4,100.0,13,13,100.0,16,33,48.5,0,0.0,0.0,0.0,0,1,0,0,0,Partidos
22,Adrián Aldrete,mx MEX,DF,UNAM,34,1988,16.0,515,711,72.4,10539,4527,178,209,85.2,246,317,77.6,86,162,53.1,2,0.8,0.7,+1.2,11,55,6,3,47,Partidos
23,Daniel Alexis Parra,mx MEX,"DF,CC",Necaxa,23,1999,1.6,57,77,74.0,1102,403,22,23,95.7,23,34,67.6,10,17,58.8,0,0.2,0.1,-0.2,4,4,2,1,4,Partidos
24,Luis Alfonso Rodríguez,mx MEX,"DF,CC",FC Juárez,31,1991,15.0,655,840,78.0,12396,5001,282,315,89.5,272,328,82.9,88,148,59.5,0,0.2,0.4,-0.2,5,76,11,7,76,Partidos
