RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
1,José Abella,mx MEX,"DF,CC",Atlas,28,1994,20.9,922,728,193,13,5,11,66,180,0,0,0,0,672,1,23,Partidos
2,Clifford Aboagye,gh GHA,CC,Querétaro,27,1995,6.5,308,300,6,2,0,2,10,1,2,0,2,0,241,2,12,Partidos
3,Luis Abram,pe PER,DF,Cruz Azul,26,1996,10.0,346,325,19,8,0,7,2,11,0,0,0,0,270,2,4,Partidos
4,Carlos Acevedo,mx MEX,PO,Santos,26,1996,33.0,950,527,421,75,0,0,0,0,0,0,0,0,642,2,0,Partidos
5,Sergio Adrián Flores,mx MEX,CC,Guadalajara,27,1995,11.2,525,509,14,11,1,4,2,2,0,0,0,0,417,2,8,Partidos
6,Washington Aguerre,uy URU,PO,Querétaro,29,1993,9.0,267,156,110,23,0,1,0,0,0,0,0,0,168,1,0,Partidos
7,Eduardo Águila,mx MEX,DF,Atlético,20,2002,2.4,123,98,25,3,0,1,2,22,0,0,0,0,90,0,2,Partidos
8,Daniel Aguilar,mx MEX,"DF,CC",Puebla,24,1998,7.9,367,312,54,4,0,3,13,47,1,1,0,0,285,1,10,Partidos
9,Manuel Aguilar,mx MEX,DF,UANL,19,2003,0.5,18,17,1,0,0,0,0,1,0,0,0,0,16,0,1,Partidos
10,Emanuel Aguilera,ar ARG,DF,Atlas,33,1989,11.5,548,509,38,14,0,13,0,24,0,0,0,0,455,1,3,Partidos
11,Eduardo Aguirre,mx MEX,DL,Santos,23,1998,12.7,224,217,6,0,0,1,4,0,0,0,0,0,156,1,9,Partidos
12,Érick Aguirre,mx MEX,DF,Monterrey,25,1997,15.6,684,545,138,4,0,3,49,134,0,0,0,0,519,1,13,Partidos
13,Gaddi Aguirre,mx MEX,DF,Atlas,26,1996,15.8,783,701,80,23,0,9,2,57,0,0,0,0,632,2,3,Partidos
14,Rodrigo Aguirre,uy URU,"DL,CC",Monterrey,27,1994,22.3,417,389,26,1,4,3,27,8,1,0,0,0,275,2,16,Partidos
15,Manuel Agustín Duarte,ar ARG,CC,Querétaro,20,2001,4.6,199,186,11,3,1,2,12,7,1,0,1,0,143,2,7,Partidos
16,Arnaud Ake,ci CIV,DL,Mazatlán,24,1998,8.6,150,134,15,0,0,0,2,1,0,0,0,0,106,1,1,Partidos
17,Edgar Alaffita,mx MEX,CC,UNAM,25,1996,1.4,55,54,1,0,0,0,3,0,1,0,0,0,40,0,1,Partidos
18,Oswaldo Alanís,mx MEX,DF,Mazatlán,33,1989,19.1,962,881,81,46,0,16,1,33,0,0,0,0,793,0,10,Partidos
19,Jesús Alberto Angulo,mx MEX,DF,UANL,24,1998,29.2,1753,1444,298,39,3,14,59,259,0,0,0,0,1364,11,31,Partidos
20,Gil Alcalá,mx MEX,PO,Querétaro,30,1992,17.0,533,328,204,28,0,0,0,0,0,0,0,0,364,1,0,Partidos
